Project,Package,Class,Smell,Description,File
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer.CamelServerRunnable,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\AbstractLanguageServer.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractLanguageServer.CamelServerRunnable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\AbstractLanguageServer.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServer,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LANGUAGE_ID; LOGGER; client; settingsManager; telemetryManager,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelLanguageServer.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractLanguageServer,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelLanguageServer.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServer,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CamelLanguageServer; SettingsManager; CamelTextDocumentService,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelLanguageServer.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelTextDocumentService,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 27 public methods,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelTextDocumentService.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelWorkspaceService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\CamelWorkspaceService.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,Feature Envy,The tool detected a instance of this smell because initializeLanguageServer is more interested in members of the type: CamelLanguageServer,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest,Insufficient Modularization,The tool detected the smell in this class because the class contains large number of methods. Total methods in the class: 30 methods,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest.DummyLanguageClient,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,AbstractCamelLanguageServerTest.DummyLanguageClient,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\AbstractCamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest.Yaml,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,CamelLanguageServerTest.Yaml,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\CamelLanguageServerTest.java
camel-language-server,com.github.cameltooling.lsp.internal,DummyConstants,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: DUMMY_URI,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\DummyConstants.java
camel-language-server,com.github.cameltooling.lsp.internal,DummyConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DUMMY_URI,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\DummyConstants.java
camel-language-server,com.github.cameltooling.lsp.internal,RangeChecker,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\RangeChecker.java
camel-language-server,com.github.cameltooling.lsp.internal,TestExtraComponentUtil,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: DEFAULT_COMPONENT,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\TestExtraComponentUtil.java
camel-language-server,com.github.cameltooling.lsp.internal,TestExtraComponentUtil,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DEFAULT_COMPONENT,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\TestExtraComponentUtil.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,BooleanErrorMsg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\BooleanErrorMsg.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,CamelDiagnosticMessage,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: BooleanErrorMsg; IntegerErrorMsg; InvalidDurationErrorMsg; LenientOptionMsg; NotConsumerOnlyErrorMsg; NotProducerOnlyErrorMsg; NumberErrorMsg; ReferenceErrorMsg; RequiredErrorMsg; UnknownComponentErrorMsg; UnknownErrorMsg,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\CamelDiagnosticMessage.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,EnumErrorMsg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\EnumErrorMsg.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,IntegerErrorMsg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\IntegerErrorMsg.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,InvalidDurationErrorMsg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\InvalidDurationErrorMsg.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,LenientOptionMsg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\LenientOptionMsg.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,NotConsumerOnlyErrorMsg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\NotConsumerOnlyErrorMsg.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,NotProducerOnlyErrorMsg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\NotProducerOnlyErrorMsg.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,NumberErrorMsg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\NumberErrorMsg.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,ReferenceErrorMsg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\ReferenceErrorMsg.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,RequiredErrorMsg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\RequiredErrorMsg.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,UnknownComponentErrorMsg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\UnknownComponentErrorMsg.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.diagnostic,UnknownErrorMsg,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\diagnostic\UnknownErrorMsg.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,ApiOptionModel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: API_METHOD_KIND_UPDATER; API_METHOD_KIND_READER; API_METHOD_KIND_FETCHER; API_METHOD_KIND_DELETER; API_METHOD_KIND_CREATOR; name; consumerOnly; producerOnly; aliases; apiOptionsMethodsModel,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\ApiOptionModel.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,BaseOptionModel,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\BaseOptionModel.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,ComponentModel,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 40 public methods,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\ComponentModel.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,ComponentOptionModel,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\ComponentOptionModel.java
camel-language-server,com.github.cameltooling.lsp.internal.catalog.model,EndpointOptionModel,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): BaseOptionModel,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\model\EndpointOptionModel.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,CodeActionProcessor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\codeactions\CodeActionProcessor.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,ConvertCamelKPropertyFileModelineRefactorAction,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: CODE_ACTION_TITLE_CONVERT_PROPERTY_FILE; camelTextDocumentService,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\codeactions\ConvertCamelKPropertyFileModelineRefactorAction.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,InvalidEnumQuickfix,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\codeactions\InvalidEnumQuickfix.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,InvalidEnumQuickfix,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractQuickfix,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\codeactions\InvalidEnumQuickfix.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,UnknownPropertyQuickfix,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\codeactions\UnknownPropertyQuickfix.java
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,UnknownPropertyQuickfix,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractQuickfix,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\codeactions\UnknownPropertyQuickfix.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentIdsCompletionsFuture,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelComponentIdsCompletionsFuture.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionNamesCompletionFuture,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionNamesCompletionFuture.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentOptionValuesCompletionsFuture,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelComponentOptionValuesCompletionsFuture.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelComponentSchemesCompletionsFuture,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelComponentSchemesCompletionsFuture.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelEndpointCompletionProcessor,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ERROR_SEARCHING_FOR_CORRESPONDING_NODE_ELEMENTS; LOGGER; textDocumentItem; camelCatalog; kameletsCatalogManager,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelEndpointCompletionProcessor.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelOptionNamesCompletionsFuture,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelOptionNamesCompletionsFuture.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelOptionValuesCompletionsFuture,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelOptionValuesCompletionsFuture.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelPropertiesCompletionProcessor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CamelPropertiesCompletionProcessor.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompletionItemCreator,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CompletionItemCreator.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompletionResolverUtils,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: CamelComponentAndPathUriInstance; CamelURIInstance; CamelUriElementInstance; PathParamURIInstance; CompletionResolverUtils; ParserXMLFileHelper; ReferenceUtils; CamelComponentURIInstance,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\CompletionResolverUtils.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,KameletTemplateIdCompletionProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\KameletTemplateIdCompletionProvider.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,PomCompletionProcessor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\PomCompletionProcessor.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,VSCodeTasksCompletionProcessor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\completion\VSCodeTasksCompletionProcessor.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelCompletionForApisTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: COMPLETIONITEM_COMPARATOR; SIMPLIFIED_JSON,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelCompletionForApisTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelEndpointOptionDuplicateTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelEndpointOptionDuplicateTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelEndpointUriCompletionTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelEndpointUriCompletionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CamelLanguageServerCompletionPositionTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CamelLanguageServerCompletionPositionTest.java
camel-language-server,com.github.cameltooling.lsp.internal.completion,CompleteIdOnDirectEndpointsTest.VMCompletionPre4X,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\completion\CompleteIdOnDirectEndpointsTest.java
